source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.7,pegasus_6,reweave-stacked,1,1,1,2.4,3,48,0.39529195800059824,20,142
ER_n20_d0.7,pegasus_6,reweave-stacked,2,1,1,2.55,3,51,0.3525493330016616,20,142
ER_n20_d0.7,pegasus_6,reweave-stacked,3,1,1,2.5,3,50,0.37518391699995846,20,142
ER_n20_d0.7,pegasus_6,reweave-stacked,4,1,1,2.55,3,51,0.24431949999780045,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer,0,1,1,2.75,4,55,0.1706917080009589,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer,1,1,1,2.8,4,56,0.1742160829999193,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer,2,1,1,2.85,4,57,0.13719770800162223,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer,3,1,1,2.45,3,49,0.1379008750009234,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer,4,1,1,2.8,3,56,0.19159641599981114,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer-layout,0,1,1,2.55,3,51,0.2698249159984698,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer-layout,1,1,1,2.85,4,57,0.14906258300106856,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer-layout,2,1,1,2.9,4,58,0.31510495799739147,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer-layout,3,1,1,2.5,4,50,0.2177555409980414,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer-layout,4,1,1,2.65,3,53,0.16385458299919264,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-base,0,1,1,2.75,4,55,0.5973837500023365,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-base,1,1,1,2.8,4,56,0.634103333002713,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-base,2,1,1,2.85,4,57,0.5870017919987731,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-base,3,1,1,2.45,3,49,0.5739406659995439,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-base,4,1,1,2.75,3,55,1.1273365000015474,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave,0,1,1,2.75,4,55,0.2087415840032918,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave,1,1,1,2.8,4,56,0.20472070799951325,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave,2,1,1,2.75,3,55,0.16192983300061314,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave,3,1,1,2.45,3,49,0.16928462499708985,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave,4,1,1,2.75,3,55,0.24996670899781748,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-thorough,0,1,1,2.55,3,51,1.0931267909982125,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-thorough,1,1,1,2.5,3,50,1.002391499998339,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-thorough,2,1,1,2.6,3,52,0.726187750002282,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-thorough,3,1,1,2.45,3,49,0.7189688750004279,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-thorough,4,1,1,2.7,4,54,0.7816239579988178,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-stacked,0,1,1,2.5,3,50,0.3217297500013956,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-stacked,1,1,1,2.65,4,53,0.227446749999217,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-stacked,2,1,1,2.65,3,53,0.2757437079999363,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-stacked,3,1,1,2.7,3,54,0.2591927079993184,20,142
ER_n20_d0.7,pegasus_6_broken5,reweave-stacked,4,1,1,2.6,3,52,0.3046459590004815,20,142
ER_n20_d0.7,zephyr_4,minorminer,0,1,1,2.2,3,44,0.11346029200285557,20,142
ER_n20_d0.7,zephyr_4,minorminer,1,1,1,2.15,3,43,0.08688758400239749,20,142
ER_n20_d0.7,zephyr_4,minorminer,2,1,1,2.25,3,45,0.16755462500077556,20,142
ER_n20_d0.7,zephyr_4,minorminer,3,1,1,2.15,3,43,0.12727629199798685,20,142
ER_n20_d0.7,zephyr_4,minorminer,4,1,1,2.05,3,41,0.12232475000200793,20,142
ER_n20_d0.7,zephyr_4,minorminer-layout,0,1,1,2.25,3,45,0.2036147090002487,20,142
ER_n20_d0.7,zephyr_4,minorminer-layout,1,1,1,2.2,3,44,0.16145995799888624,20,142
ER_n20_d0.7,zephyr_4,minorminer-layout,2,1,1,2.65,3,53,0.12039245900086826,20,142
ER_n20_d0.7,zephyr_4,minorminer-layout,3,1,1,2.25,3,45,0.12860783400174114,20,142
ER_n20_d0.7,zephyr_4,minorminer-layout,4,1,1,2.4,3,48,0.2204301249985292,20,142
ER_n20_d0.7,zephyr_4,reweave-base,0,1,1,2.2,3,44,0.6670397500020044,20,142
ER_n20_d0.7,zephyr_4,reweave-base,1,1,1,2.15,3,43,0.5779337909989408,20,142
ER_n20_d0.7,zephyr_4,reweave-base,2,1,1,2.25,3,45,0.7332272919993557,20,142
ER_n20_d0.7,zephyr_4,reweave-base,3,1,1,2.15,3,43,0.6167373329990369,20,142
ER_n20_d0.7,zephyr_4,reweave-base,4,1,1,2.05,3,41,0.6700157500017667,20,142
ER_n20_d0.7,zephyr_4,reweave,0,1,1,2.2,3,44,0.2338587499980349,20,142
